id,name,description,optimal_sun,optimal_soil,planting_considerations,when_to_plant,growing_from_seed,transplanting,spacing,watering,feeding,other_care,diseases,pests,harvesting,storage_use
1,Tomatoes,"Tomatoes are America’s favorite garden vegetable. (Yes, we technically eat the fruit of the tomato plant, but it's used as a vegetable in eating and cooking and, thus, usually categorized in vegetables.) This vine plant is fairly easy to grow and will produce a bumper crop with proper care. Its uses are versatile, however, tomatoes are susceptible to a range of pests and diseases.",Full Sun(at least 6 hours a day),"Loamy, Acidic pH","Tomatoes can be either determinate(bush) or indeterminate(climbing) varieties. Determinate varieties can be grown without support, and they typically yield all of their fruit in the span of a few weeks. Indeterminate varieties should be staked, trellised, or caged, and pruned for optimal yields. They yield their fruit over a more extended time period. Tomatoes make great neighbors for basil plants in the garden.","Wait 5-6 weeks after the last frost date to transplant outdoors. For optimal germination, keep the soil at around 80-85°F. For earliest crops, set plants out around the last frost date under floating row covers which will protect from frost to about 28°F. If possible, avoid setting out unprotected plants until night temperatures are over 45°F.","Plant in flats, using a soilless peat-based mix instead of potting soil. When the first true leaves develop, it is time to transplant.","Transplant 12-24"" apart for determinate varieties, 24-36"" apart for indeterminate, unstaked varieties, and 14-20"" for staking.","Final plant spacing should be 12 to 24 inches apart in all directions for determinate varitieties, 24-36"" apart for indeterminate, unstaked varieties, and 14-20"" for staking.",Make sure soil remains moist but is well-drained.,Water seedlings with a high-phosphate fertilizer solution for best results.,Indeterminate varieties will need trellised or caged for best growing results.,"Learn the common tomato diseases in your area and try to select the most resistant varieties. For prevention, use young, healthy transplants, avoid overhead irrigation, rotate crops, and do not handle tobacco or smoke before handling plants. Fungicides can reduce certain diseases when properly selected and applied. Prevent blossom end rot by providing abundant soil calcium and an even supply of soil moisture.",Use row covers to protect young seedlings from flea beetles. Tomato hornworms can be controlled with bacillus thuringiensis.,"Leave your tomatoes on the vine as long as possible. The perfect tomato for picking will be firm and very red in color, regardless of size, with perhaps some yellow remaining around the stem. A ripe tomato will be only slightly soft. Pick at the base of the stem.
",Never refrigerate fresh tomatoes. Doing so spoils the flavor and texture that make up that garden tomato taste.
2,Basil,"Basil is a leafy, fragrant annual with a bushy appearance. The most common type of basil is sweet basil; other types include purple basil (less sweet than common basil), Lemon basil (lemon flavor), and Thai basil (licorice flavor). Basil is easy to grow and works well in Italian dishes, but it only grows in the summer, so plan accordingly.",Full Sun(at least 6 hours a day),Loamy,Tomatoes make great neighbors for basil plants in the garden. Ensure your outdoor site gets 6-8 hours of full sun daily; soil should be moist and well-drained.,"To get a head start, start the seeds indoors 6 weeks before the last spring frost. Plant the seeds/seedlings about 10 to 12 inches apart. After the last frost date, plant the seeds/seedlings in the ground. The soil should be around 70ºF for best growth.","After the last frost date, plant the seeds/seedlings in the ground about ¼-inch deep. Plant the seeds/seedlings about 10 to 12 inches apart.","After the last frost date, plant the seeds/seedlings in the ground about ¼-inch deep. Plant the seeds/seedlings about 10 to 12 inches apart.",They should grow to about 12 to 24 inches in height. Final spacing should be 12-24 inches in all directions.,Make sure soil remains moist but is well-drained.,,Remember to pinch out the flower heads as soon as they appear to make sure that the leaves will continue growing.,"Variety of bacterial and fungal leaf, stem, and root diseases",Aphids,"After the seedlings have their first six leaves, prune to above the second set. Pinch or cut at the base lateral stems to harvest. The best time to harvest is right when the plant starts to bud (before the flowers bloom).","The best method for storing basil is freezing. Freezing will prevent the plant from losing any of its flavor. To quick-freeze basil, dry whole sprigs of basil and package them in airtight plastic bags."
3,Lettuce,"This is a half-hardy vegetable that you can keep growing all season long by planting one small crop at a time. Days to maturity tend to be short. Garden lettuce is far superior, in both taste and vitamin A content, to supermarket brands.",Part Sun,Loamy,"Consider planting rows of chives or garlic between your lettuce to control aphids. They act as “barrier plants” for the lettuce.  Planning your garden so that lettuce will be in the shade of taller plants, such as tomatoes or sweet corn, in the heat of the summer, may reduce bolting as well.","Lettuce is a cool-season crop that grows well in the spring and fall in most areas. Lettuce seedlings will even tolerate a light frost. 45-65°F is the ideal temperature. Start seeds indoors 4 to 6 weeks before last spring frost date for earliest crop. Direct sowing is recommended as soon as the ground can be worked. Snow won’t hurt them, but a desiccating cold wind will. Harden off seedlings for about one week, and transplant outside between 2 weeks before and 2 weeks after last spring frost.",Plant seeds ½ inch deep.,Leaf lettuce: Plant 4 inches apart. Cos and loose-headed types: Plant 8 inches apart. Firm-headed types: Plant 16 inches apart.,Final spacing for Cos and loose-headed types should be 8 inches in all directions and 16 inches for firm-headed types.,"Make sure soil remains moist but is well-drained. Lettuce will tell you when it needs water. Just look at it. If the leaves are wilting, sprinkle them anytime—even in the heat of the day—to cool them off and slow down the transpiration rate.",,You should be able to sow additional seeds every two weeks for a continuous harvest throughout the growing season.,White Mold,"Aphids, Earwigs","Lettuce should be harvested when full size, but just before maturity. You want it young and tender. Before maturity, you can harvest leaf lettuce by simply removing outer leaves so that the center leaves can continue to grow. Butterhead or romaine types can be harvested by removing the outer leaves, digging up the whole plant or cutting the plant about an inch above the soil surface. A second harvest is often possible this way. Crisphead lettuce is picked when the center is firm. It’s best to harvest in the morning before leaves have been exposed to sun.",
4,Carrots,"Carrots are a popular root vegetable that are easy to grow in sandy soil. They are resistant to most pests and diseases, and are a good late season crop that can tolerate frost. Not all carrots are orange; varieties vary in color from purple to white.",Full Sun(at least 6 hours a day),"Sandy, Neutral pH","Carrots are biennial plants. If you leave them in the ground, the tops will flower and produce seeds the second year.",Plan to plant seeds outdoors 3 to 5 weeks before the last spring frost date.,Plant seeds 3-4 inches apart in rows. Rows should be at least a foot apart.,Transplanting carrots is not recommended.,Final spacing should be 3-4 inches in all directions.,Water at least one inch per week.,,"Gently mulch to retain moisture, speed germination and block the sun from the roots. Soil should be well drained and loose to prevent forking and stunting of the root growth. Carrots taste much better after a couple of frosts. Following the first hard frost in the fall, cover carrot rows with an 18-inch layer of shredded leaves to preserve them for harvesting later.",Aster Yellow Disease will cause shortened and discolored carrot tops and hairy roots. This disease is spread by pests as they feed from plant to plant. Keep weeds down and invest in a control plan for pests such as leafhoppers. This disease has the ability to overwinter.,"Wireworms, Flea Beetles","Carrots are mature at around 2 ½ months and ½ inch in diameter. You may harvest whenever desired maturity is reached.
You may leave mature carrots in the soil for storage if the ground will not freeze.","To store freshly harvested carrots, twist off the tops, scrub off the dirt under cold running water, let dry and seal in airtight plastic bags, and refrigerate. If you simply put fresh carrots in the refrigerator, they’ll go limp in a few hours."
5,Asparagus,"Asparagus is a perennial bulb and stem vegetable that greets us every spring. It may take 2 to 3 years to get started and produce, so patience is needed! But then the plant can be productive up to 20 years, so we think it's worth the wait. Asparagus has male and female plants, with the female plants producing berries. Regions with cool winters are best for this cool-season crop.",Part Sun,"Sandy, Mildly Acidic to Neutral pH","Asparagus does not like to have its feet “wet,” so be sure your bed has good drainage. For that reason, raised beds can be a good place to plant asparagus.",Asparagus is planted in early spring as soon as the soil can be worked. The plant is grown from “crowns” (1-year-old plants).,"Eliminate all weeds from the bed, digging it over and working in a 2- to 4-inch layer of compost, manure or soil mix. Dig trenches of about 6 inches wide and 6 to 12 inches deep.  Some experts believe shallow trenches of 6 inches are best. Create a mound in the trench and plant the crowns 15 to 18 inches apart, spreading the roots over the ridge.",Transplanting asparagus is not recommended.,Final plant spacing should be 15 to 18 inches apart in all directions.,,,"When the trench is filled, add a 4 to 8 inch layer of mulch and water regularly. Do not harvest the spears in the first year, but cut down dead foliage in late fall and side-dress with compost. During the second year, keep the bed thickly mulched, side-dress in spring and early fall, and cut down dead foliage in late fall.","Crown rot, Rust","Asparagus Beetles, Cutworms, Slugs","Asparagus can take three growing seasons to harvest; you may be able to lightly harvest during the second year. In the first year, just let the asparagus go vegetative to give the crown a chance to get well established. Next spring, remove the old fern growth from the previous year, and keep an eye open for the new spears to begin emerging. For the following years, maintain the bed and harvest only the spears thicker than a pencil. Harvest for 2 or 3 weeks. After you harvest, leave the ferns so it can gather nourishment for next year's growth.",
6,Beans,"Pole and bush beans (more commonly called green beans) are a tender vegetable and a great addition to any garden, great eaten fresh off the plant or incorporated into a recipe. Bush beans require less maintenance, so they are easier to grow.",Full Sun(at least 6 hours a day),Loamy,"Pole beans will grow in a climbing vine and require a trellis or staking. Bush beans will spread up to 2 feet but do not require support. If you like pole beans, an easy support for them is a “cattle panel”—a portable section of wire fence—16 feet long and 5 feet tall. The beans will climb with ease, and you won’t have to get into contorted positions to pick them.","Seeds can be sown outdoors anytime after last spring frost, minimum soil temp is 48°F.","Plant 1 inch deep, a little deeper for sandier soils. Cover soil to warm if necessary. Bush beans: Plant 2 inches apart. For a harvest that lasts all summer, sow beans every 2 weeks. If you’re going to be away, skip a planting.",Do not start seeds indoors; they may not survive transplanting.,Final plant spacing should be 2 to 4 inches apart in all directions.,"Mulch soil to retain moisture; make sure that it is well-drained. Water regularly, from start of pod to set. Water on sunny days so foliage will not remain soaked.",,,"White Mold, Mosaic Viruses, Bean blossoms will drop from the plant if the weather is too hot and too much nitrogen in the soil will prevent pods from setting.","Aphids, Mexican Bean Beetles, Japanese Beetles","Beans are picked at an immature stage, when the seeds inside have not yet fully developed. Look for firm, sizable pods and snap or cut off the plant. Do not tear the plant.","Beans can be kept fresh for at least 4 days, or blanched and frozen immediately after harvesting. Beans can also be canned or pickled."
7,Beets,"Beets are a cool season vegetable crop. This root veggie grows quickly and has many different varieties which showcase deep red, yellow or white bulbs of different shapes. They can survive frost and almost freezing temperatures, which makes them a good choice for northern gardeners and an excellent long-season crop.",Full-Part Sun,"Loamy, Sandy, Neutral pH","A soil pH above 5.5–6 is best, otherwise growth will be stunted. Beets are a good indicator of soil pH. Beets require especially good nutrition and a high phosphorus level to germinate. Go easy on nitrogen however, an excess will cause sprawling greens and tiny bulbs beneath the soil.","Wait until soil reaches 50 degrees before planting. Early crop can be planted in March/April, and late crop anytime from June to September. Successive plantings are also possible as long as the weather doesn’t exceed 75 degrees F. Space plantings about 20 days apart. Winter crops are a definite possibility in Zone 9 and above.","Plant seeds ½ inch deep and 1-2 inches apart. Make sure soil remains moist for germination. In zones with low moisture and rainfall, soak the seeds for 24 hours before planting.",Transplanting beets is not recommended.,"Thinning is necessary, as you may get more than one seedling out of each seed. Thin when they read about 2 inches high by pinching them off. Pulling them out of the ground may disturb the close surrounding roots of nearby seedlings. Established plants should be thinned to 3–4 inches between plants.",Beets need to maintain plenty of moisture.,,"Mulch and water well. Any necessary cultivation should be gentle, beets have shallow roots that are easily disturbed.
",,"Flea Beetles, Leaf Hoppers, Mexican Bean Beetles","Days to maturity tend to be between 50 and 70 for most varieties, although they can be harvested at any time you see fit. If you like larger bulbs, wait longer, but understand they will be tougher and woody. Don’t let greens grow above 6 inches before harvesting. Don’t forget about the tops! Beet greens have a delicious and distinctive flavor, and hold more nutrition than the roots.","Fresh beets can be stored in the refrigerator for 5–7 days. Clipping the tops off beets will keep them fresher for longer. Leave about one inch of stem on each beet, and store the greens separately. Beets can be frozen, canned and pickled."
8,Broccoli,"Broccoli is a cool-season crop that, like spinach, can be grown in the spring or fall. In fact, you may be able to get a continual harvest throughout both seasons if you time planting correctly. A member of the cabbage family, broccoli is rich in vitamins.",Full Sun(at least 6 hours a day),"Sandy, Mildly Acidic to Neutral pH",,"Broccoli can germinate in soil with temperatures as low as 40ºF. For spring plantings, seed or set transplants 2 to 3 weeks before last spring frost date. If you transplant, assume 10 less days for growth or the “days to maturity” on the seed packet. For fall plantings, seed 85 to 100 days before your average first fall frost. If you live in a warm climate, a fall planting is best, as broccoli thrives in cool weather. Plant seeds in mid- to late-summer in most places.","Broccoli requires full sun and moist, fertile soil that’s slightly acidic. Work in 2 to 4 inches of rich compost or a thin layer of compost before planting. Plant seeds ½ inch deep.",Set transplants slightly deeper than they were grown originally.,"Space plants 12 to 24 inches apart, depending on the side heads you want to harvest. If you overseed, you will need to thin seedlings to 12 inches apart to give room for the broccoli to grow.","Provide consistent soil moisture with regular watering, especially in drought conditions. Some varieties of broccoli are heat tolerant, but all need moisture. Do not get developing heads wet when watering.",,"Roots are very shallow, do not cultivate. Suffocate weeds with mulch.","Downy mildew: Yellow patches on leaves are usually caused by moist weather. Keep leaves as dry as possible with good air circulation. Buy resistant varieties. Nitrogen deficiency: If the bottom leaves turn yellow and the problem continues toward the top of the plant, the plants need a high nitrogen (but low phosphorus) fertilizer or bloodmeal. Blood meal is a quick Nitrogen fix for yellowing leaves.",Aphids: Curling leaves may mean that the plant’s sap is being sucked by insects. Apply soapy water to all sides of leaves whenever you see aphids. Cabbage loopers: Small holes on the leaves between the veins mean small green caterpillars are present. Look at the undersides of the leaves. Hand pick if the problem is small or control with Bacillus thuringiensis. Use a floating row cover just after planting through harvest to prevent caterpillars. Cabbageworms and other worm pests: Treat same as loopers.,"In terms of timing: Harvest broccoli when the buds of the head are firm and tight before the heads flower. If you see yellow petals, harvest immediately. For best taste, harvest in the morning before the soil heats up. Cut the stalk of the main head at a slant, about 5 to 8 inches below the head. Most varieties have side-shoots that will continue to develop after the main head is harvested. You can harvest from one plant for many weeks, in some cases, from spring to fall, if you’re summer isn’t too hot.",
9,Brussels Sprouts,"Brussels Sprouts are a member of the cabbage family, and an excellent source of protein and vitamins. They have a long growing season, and are generally more successful when grown for a fall harvest, as they only increase in flavor after a light frost or two.",Full Sun(at least 6 hours a day),Neutral pH,,"While starting seeds indoors is recommended, you may also direct sow seeds 4 months before the first fall frost. You may also have luck finding seedlings at a nursery.","If direct sowing seeds, plant ½ inch deep and 2-3 inches apart.",Set transplants slightly deeper than they were grown originally.,Thin plants to 12-24 inches apart when they reach 6 inches tall.,"Mulch to retain moisture and keep the soil temperature cool. Do not cultivate, roots are shallow and susceptible to damage. Protect the plant by mulching with straw or providing a cover if you plan to harvest into the winter.",,Mulch will also help to keep soil temperatures down.,"Clubroot, Downy Mildew, White Mold","Aphids, Flea Beetles","Harvest sprouts from the bottom of the stalk when they reach about 1 inch in diameter. Do not wash the sprouts before storing them, only right before use.",
10,Cabbage,"Cabbage is a hardy, leafy vegetable full of vitamins. It can be difficult to grow; it only likes cool temperatures, and it can be a magnet for some type of pests. By planning your growing season and providing diligent care, you may have two successful crops in one year, both spring and fall. Many varieties are available to suit both your growing conditions and taste preferences.",Full Sun(at least 6 hours a day),"Loamy, Sandy, Neutral pH",,Start cabbage seeds indoors 6-8 weeks before the last spring frost. Transplant outdoors 2-3 weeks before the last expected frost date. Choose a cloudy afternoon.,Plant seeds at roughly 1.5 times the seed’s diameter.,"When transplants reach 5 inches tall, thin to make sure they are still the desired length apart. (The plants you remove can be transplanted elsewhere in your garden.)","Plant 12 to 24 inches apart in rows, depending on size of head desired. The closer you plant, the smaller the heads.",Keep soil moist with mulch and water 2 inches per week. Mulch thickly to retain regulate soil temperature.,,,Splitting,"Cabbageworms, Aphid, Flea Beetles","Harvest when heads reach desired size and are firm. This will take around 70 days for most green cabbage varieties. Most early varieties will produce 1- to 3-pound heads.  Cut each cabbage head at its base with a sharp knife. After harvesting, bring inside or put in shade immediately. To get two crops from early cabbage plants, cut the cabbage head out of the plant, leaving the outer leaves and root in the garden. The plant will send up new heads—pinch them off until only four or so smaller heads remain. When these grow to tennis-ball size, they’ll be perfect for salad.","Cabbage can be stored in the refrigerator for no more than two weeks, wrapped lightly in plastic. Make sure it is dry before storing. In proper root cellar conditions, cabbage will keep for up to 3 months. See our article on root cellars."
11,Cauliflower,"Cauliflower is a cool-season crop and a descendant of the common cabbage. It is more difficult to than its relatives because it does not tolerate the heat or cold as well. For this reason, cauliflower is usually grown commercially. If you plan to attempt growing cauliflower in the home garden, it requires consistently cool temperatures with temperatures in the 60s. Otherwise, it prematurely “button”—form small button-size heads—rather than forming one, nice white head.",Full Sun(at least 6 hours a day),"Loamy, Mildly Acidic to Neutral pH",Soil needs be very rich in organic matter; add compost to the soil before planting. Fertile soil holds in moisture to prevent heads from “buttoning.”,"It is best to start cauliflower from transplants rather than seeds. Transplant 2-4 weeks before the average frost date in the spring, no sooner and not much later. Plant fall cauliflower about the same time as fall cabbage. This is usually 6-8 weeks before the first fall frost and also need to be after the temperature is below 75 degrees F.","If you really want to try starting cauliflower from seeds, start the seeds 4 to 5 weeks before the plants are needed. Plant the seeds in rows 3 to 6 inches apart and ¼ to ½ of an inch deep. Do not forget to water the seeds during their germination and growth.","Once seeds become seedlings, transplant them to their permanent place in the garden.",Space the transplants 18 to 24 inches apart with 30 inches between rows.,"Cauliflower requires consistent soil moisture. They need 1 to 1.5 inches of water each week; with normal rainfall, this usually requires supplement watering.",,"Note that the cauliflower will start out as a loose head and it takes time for the head to form. Many varieties take at least 75 to 85 days from transplant. Be patient. When the curd (the white head) is about 2 to 3 inches in diameter, tie the outer leaves together over the head with a rubber band, tape, or twine. This is called blanching, and it protects the head from the sun and helps you get that pretty white color. The plants are usually ready for harvest 7 to 12 days after blanching.","Clubroot, Black Rot","Cabbageworm, Aphids, Harlequin Bugs","When the heads are compact, white, and firm, then it is time to harvest them. Ideally, the heads will grow 6 to 8 inches in diameter. Cut the heads off the plant with a large knife. Be sure to leave some of the leaves around the head to keep it protected. If the heads are too small but have started to open up, they will not improve and should be harvested. If the cauliflower has a coarse appearance, it is too mature and should be tossed.","If you want to store cauliflower, you can put the head in a plastic bag and store it in the refrigerator. It should last for about a week. For long-term storage, you can also freeze or pickle the heads."
12,Celery,"Celery is a long-season crop that can be tricky to grow, some might say, the trickiest of all. It likes fertile soil, cool temperatures, and constant moisture. It will not tolerate heat and can be hard to transplant. Summer crops in the north and winter crops in the south make celery a year-round producer. All the work is worth it when you harvest crunchy, green stalks.",Full-Part Sun,Neutral pH,,"Celery seeds should always be started indoors for the best success rate, 8 to 10 weeks before the average last frost date for your area. For summer gardeners, a late summer direct sowing is possible. Be sure that temps will stay between 55 and 70ºF throughout growing period.","The National Gardening Association recommends soaking seeds in warm water overnight prior to planting, to reduce germination time.  Direct sow seeds ¼ inch deep.","Harden off seedlings before transplanting by reducing water slightly, and keeping them outdoors for a couple hours a day.",Space the seedlings to 10-12 inches apart.,"Celery is a heavy feeder. It also requires lots of water. Make sure to provide plenty of water during the entire growing season, especially during hot, dry weather. If celery does not get enough water, the stalks will be dry, and small. Fertilize regularly. Add mulch as needed, to help retain soil moisture and add nutrients. Tie growing celery stalks together to keep them from sprawling.",,,"Fusarium Wilt, Mosaic Virus","Cutworms, Aphids, Whiteflies","The parts of celery that are harvested are mainly the stalks, which will be above ground. Harvest stalks from the outside in. You may begin harvesting when stalks are about 8 inches tall.","Keep celery in a plastic bag, in the refrigerator. It should be used within two weeks."
13,Chives,"Chives are a perennial member of the onion family that sport beautiful purple flowers. Chives are cool-season, cold-tolerant perennials that are planted in early spring. Be mindful when planting this herb, as it will take over your garden if the flowers are left to ripen (the flowers scatter the seeds). However, this plant is easy to dig up and move if it overwhelms your garden.",Full Sun(at least 6 hours a day),"Loamy, Sandy","Soil needs to be moist, fertile, rich, and well-draining. Before planting, incorporate 4 to 6 inches of well-composted organic matter. Apply 2 to 3 tablespoons of all-purpose fertilizer (16-16-8) per square foot of planting area. Work compost and fertilizer into the soil to a depth of 6 to 8 inches.","For a head start, start the seeds indoors 8 to 10 weeks before the last spring frost. If you are growing from seed, sow as soon as the soil is workable in the spring.","For the best growth, the soil should be around 60º-70ºF. Plant seeds ¼ inch deep.",Transplants need good growth before being set in the garden.,Final plant spacing should be 4 to 6 inches apart in all directions.,"It is important to give chives consistent watering throughout the growing season for high yields. Moisten the soil thoroughly when watering. Use mulch to conserve moisture and keep the weeds down. Minimal care is needed for fully grown plants. After the flowers bloom, be sure to remove them so that the seeds aren't spread throughout your garden. Remember to divide the plants every 3 to 4 years in the spring. Chives are much more productive if divided regularly. Allow divided plants to grow for several weeks before harvesting.",,,"Bulb rots (caused by soilborne fungi), White rot, Rust",Onion fly,"Harvest chives 30 days after you transplant or 60 days after seeding. Cut the leaves down to the base when harvesting (within 1 to 2 inches of the soil). Harvest 3 to 4 times during the first year. In subsequent years, cut plants back monthly. The chive plant will flower in May or June. (The flowers are edible.)",Use chives when they're fresh or frozen (freeze the leaves in an airtight bag). Dried chives lose their flavor. Store chives in a cool place in a resealable container.
14,Collard Greens,"Collard Greens are a hardy, cool-season green that are part of the cabbage family. They grow best in the spring and fall and can tolerate all fall frosts.",Full Sun(at least 6 hours a day),"Loamy, Neutral-Mildly Alkaline pH",,You can plant collards anytime from early spring to early summer. If you plant collards late in the summer you can harvest it from fall until the ground freezes in winter.,"Plant the seeds ¼ to ½ inch deep into well-drained, light soil.","Once seeds become seedlings, transplant them to their permanent place in the garden.","After about 2 weeks, thin the seedlings so that they are spaced 8-12 inches apart.  Transplant to 8-12 inches apart",Water the plants regularly but be sure not to overwater them. Mulch the soil heavily after the first hard freeze; the plants may continue to produce leaves throughout the winter.,,,,"Cabbageworms, Flea beetles, Aphids","Collards are ready to harvest when the leaves are about the size of your hand. Pick about one fistful of leaves per harvest. Avoid picking the terminal bud (found at the top center of the plant) because this will help to keep the plant productive. The small, tender leaves can be eaten uncooked and used in salads.",You can store collards as you would any other leafy green; put the kale in a plastic bag and store it in the refrigerator. It should last about 1 week.
